full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,96515,96515,14388,1974,1974,823,https://github.com/anthropics/claude-code
claude-code-best/claude-code,6035,6035,7651,1600,1600,1812,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,129513,129513,18256,1087,1087,308,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,46076,46076,7234,321,321,75,https://github.com/shareAI-lab/learn-claude-code
jarmuine/claude-code,1059,1059,3758,179,179,430,https://github.com/jarmuine/claude-code
ChinaSiro/claude-code-sourcemap,6869,6869,11973,530,530,752,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35334,35334,2664,116,116,29,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,31003,31003,2411,85,85,13,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23972,23972,2338,20,20,5,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,694,694,1492,46,46,115,https://github.com/pengchengneo/Claude-Code
shanraisshan/claude-code-best-practice,29845,29845,2578,509,509,75,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,15880,15880,1787,29,29,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6798,6798,1638,10,10,7,https://github.com/anthropics/claude-code-action
NanmiCoder/claude-code-haha,2006,2006,2572,705,705,757,https://github.com/NanmiCoder/claude-code-haha
oboard/claude-code-rev,1791,1791,2583,210,210,234,https://github.com/oboard/claude-code-rev
Onewon/claude-code,108,108,1430,15,15,216,https://github.com/Onewon/claude-code
tanbiralam/claude-code,421,421,760,88,88,163,https://github.com/tanbiralam/claude-code
ponponon/claude_code_src,1130,1130,2207,192,192,304,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,7828,7828,1359,110,110,49,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9390,9390,1201,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7754,7754,1150,45,45,13,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8322,8322,606,3,3,0,https://github.com/frankbria/ralph-claude-code
codeaashu/claude-code,287,287,541,131,131,257,https://github.com/codeaashu/claude-code
ykdojo/claude-code-tips,7020,7020,489,11,11,4,https://github.com/ykdojo/claude-code-tips
beita6969/claude-code,199,199,483,15,15,28,https://github.com/beita6969/claude-code
hangsman/claude-code-source,551,551,1388,31,31,92,https://github.com/hangsman/claude-code-source
ChrisWiles/claude-code-showcase,5661,5661,500,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3763,3763,553,2,2,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,820,820,1563,5,5,5,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3341,3341,445,2,2,2,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26144,26144,10043,18,18,43,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3452,3452,588,1,1,1,https://github.com/disler/claude-code-hooks-mastery
sickn33/antigravity-awesome-skills,29674,29674,4952,97,97,19,https://github.com/sickn33/antigravity-awesome-skills
zebbern/claude-code-guide,3779,3779,354,3,3,-1,https://github.com/zebbern/claude-code-guide
anthropics/skills,108124,108124,12027,272,272,33,https://github.com/anthropics/skills
LING71671/Open-ClaudeCode,178,178,257,31,31,38,https://github.com/LING71671/Open-ClaudeCode
777genius/claude-code-source-code,705,705,1028,303,303,424,https://github.com/777genius/claude-code-source-code
kodu-ai/claude-coder,5285,5285,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7261,7261,354,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2319,2319,388,4,4,2,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2309,2309,324,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
huangserva/claude-code-cli,311,311,773,53,53,130,https://github.com/huangserva/claude-code-cli
anthropics/claude-code-security-review,4101,4101,350,9,9,3,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2303,2303,305,3,3,0,https://github.com/RichardAtCT/claude-code-telegram
VineeTagarwaL-code/claude-code,216,216,219,18,18,20,https://github.com/VineeTagarwaL-code/claude-code
FlorianBruniaux/claude-code-ultimate-guide,2671,2671,386,11,11,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2548,2548,275,1,1,1,https://github.com/Cranot/claude-code-guide
zstmfhy/Claude-code,137,137,234,11,11,8,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-base-action,757,757,595,0,0,4,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2250,2250,256,11,11,3,https://github.com/ding113/claude-code-hub
router-for-me/CLIProxyAPI,21927,21927,3613,116,116,23,https://github.com/router-for-me/CLIProxyAPI
freestylefly/claude-code,103,103,237,6,6,15,https://github.com/freestylefly/claude-code
https-deeplearning-ai/sc-claude-code-files,470,470,640,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,129541,129541,10649,734,734,86,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1377,1377,282,2,2,0,https://github.com/edmund-io/edmunds-claude-code
eyaltoledano/claude-task-master,26343,26343,2468,3,3,-1,https://github.com/eyaltoledano/claude-task-master
wanshuiyin/Auto-claude-code-research-in-sleep,5119,5119,422,57,57,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Pimzino/claude-code-spec-workflow,3599,3599,252,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
leaked-claude-code/leaked-claude-code,334,334,496,90,90,129,https://github.com/leaked-claude-code/leaked-claude-code
wshobson/agents,32720,32720,3571,33,33,3,https://github.com/wshobson/agents
anthropics/claude-plugins-official,15648,15648,1714,32,32,6,https://github.com/anthropics/claude-plugins-official
snarktank/ralph,14188,14188,1445,23,23,2,https://github.com/snarktank/ralph
alex000kim/claude-code,117,117,186,26,26,29,https://github.com/alex000kim/claude-code
zhukunpenglinyutong/idea-claude-code-gui,2299,2299,266,14,14,2,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
ghuntley/claude-code-source-code-deobfuscation,946,946,548,3,3,9,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,2017,2017,186,7,7,2,https://github.com/bfly123/claude_code_bridge
siteboon/claudecodeui,9272,9272,1200,25,25,8,https://github.com/siteboon/claudecodeui
xorespesp/claude-code,127,127,173,27,27,39,https://github.com/xorespesp/claude-code
Kuberwastaken/claurst,5343,5343,6181,5343,5343,6181,https://github.com/Kuberwastaken/claurst
lintsinghua/claude-code-book,827,827,266,222,222,67,https://github.com/lintsinghua/claude-code-book
lowcortisolprogrammer/claude-code,156,156,145,8,8,8,https://github.com/lowcortisolprogrammer/claude-code
